system,classifier,technique,AUC
berek,RF,UNDER,0.931881675731676
berek,RF,SMOTE,0.9339468051349
berek,RF,ROSE,0.884916817320686
camel-1.0,RF,ORIGINAL,0.754021619220428
camel-1.0,RF,OVER,0.695628506982226
camel-1.0,RF,UNDER,0.720766592103606
camel-1.0,RF,SMOTE,0.756677159235518
camel-1.0,RF,ROSE,0.707389564567932
camel-1.2,RF,ORIGINAL,0.643902029082133
camel-1.2,RF,OVER,0.648912598752442
camel-1.2,RF,UNDER,0.640663045871158
camel-1.2,RF,SMOTE,0.642058886561468
camel-1.2,RF,ROSE,0.538106908764277
camel-1.4,RF,ORIGINAL,0.71633475124856
camel-1.4,RF,OVER,0.707488349381853
camel-1.4,RF,UNDER,0.700189887195714
camel-1.4,RF,SMOTE,0.715398500086953
camel-1.4,RF,ROSE,0.660175518082453
camel-1.6,RF,ORIGINAL,0.68955404339985
camel-1.6,RF,OVER,0.690196367008843
camel-1.6,RF,UNDER,0.693934454908193
camel-1.6,RF,SMOTE,0.694312959994572
camel-1.6,RF,ROSE,0.643433233867107
ivy-1.1,RF,ORIGINAL,0.701568627284244
ivy-1.1,RF,OVER,0.691880025704871
ivy-1.1,RF,UNDER,0.691433470412381
ivy-1.1,RF,SMOTE,0.700953327480532
ivy-1.1,RF,ROSE,0.591227709463076
ivy-1.4,RF,ORIGINAL,0.682138113896184
ivy-1.4,RF,OVER,0.661400489416386
ivy-1.4,RF,UNDER,0.628532756894838
ivy-1.4,RF,SMOTE,0.632199915380118
ivy-1.4,RF,ROSE,0.616331606559238
ivy-2.0,RF,ORIGINAL,0.769459319412645
ivy-2.0,RF,OVER,0.768215937925827
ivy-2.0,RF,UNDER,0.775103540240264
ivy-2.0,RF,SMOTE,0.765186195219119
ivy-2.0,RF,ROSE,0.773117813969109
jedit-3.2,RF,ORIGINAL,0.823066379395121
jedit-3.2,RF,OVER,0.821343061908903
jedit-3.2,RF,UNDER,0.825716770304329
jedit-3.2,RF,SMOTE,0.817234907535695
jedit-3.2,RF,ROSE,0.770713995895878
jedit-4.0,RF,ORIGINAL,0.780495169586505
jedit-4.0,RF,OVER,0.772671143250306
jedit-4.0,RF,UNDER,0.771295860240063
jedit-4.0,RF,SMOTE,0.778168057694559
jedit-4.0,RF,ROSE,0.747833251248905
jedit-4.1,RF,ORIGINAL,0.798224339448097
jedit-4.1,RF,OVER,0.806416227517665
jedit-4.1,RF,UNDER,0.794690590021194
jedit-4.1,RF,SMOTE,0.814597367907699
jedit-4.1,RF,ROSE,0.735034955403775
jedit-4.2,RF,ORIGINAL,0.795753977269461
jedit-4.2,RF,OVER,0.799393795129724
jedit-4.2,RF,UNDER,0.810240797812969
jedit-4.2,RF,SMOTE,0.810880031237413
jedit-4.2,RF,ROSE,0.780798522163048
log4j-1.0,RF,ORIGINAL,0.792295947132299
log4j-1.0,RF,OVER,0.791959045301128
log4j-1.0,RF,UNDER,0.803052934051125
log4j-1.0,RF,SMOTE,0.799163524943302
log4j-1.0,RF,ROSE,0.804619947689062
log4j-1.1,RF,ORIGINAL,0.802049262717601
log4j-1.1,RF,OVER,0.787551180758173
log4j-1.1,RF,UNDER,0.794731370283885
log4j-1.1,RF,SMOTE,0.787499561582226
log4j-1.1,RF,ROSE,0.823390528879305
log4j-1.2,RF,ORIGINAL,0.704518955098727
log4j-1.2,RF,OVER,0.704134260343731
log4j-1.2,RF,UNDER,0.669408302747745
log4j-1.2,RF,SMOTE,0.685643940679868
log4j-1.2,RF,ROSE,0.701340951237848
lucene-2.0,RF,ORIGINAL,0.701202855618322
lucene-2.0,RF,OVER,0.699769632981951
lucene-2.0,RF,UNDER,0.70205934330395
lucene-2.0,RF,SMOTE,0.689939060697312
lucene-2.0,RF,ROSE,0.695459116764205
lucene-2.2,RF,ORIGINAL,0.654264346630377
lucene-2.2,RF,OVER,0.655352734477144
lucene-2.2,RF,UNDER,0.645095234689037
lucene-2.2,RF,SMOTE,0.642473443079817
lucene-2.2,RF,ROSE,0.633501903181797
lucene-2.4,RF,ORIGINAL,0.768999290340066
lucene-2.4,RF,OVER,0.770014561314434
lucene-2.4,RF,UNDER,0.768011634859111
lucene-2.4,RF,SMOTE,0.76335451923463
lucene-2.4,RF,ROSE,0.743644270578691
pdftranslator,RF,ORIGINAL,0.88271518329554
pdftranslator,RF,OVER,0.893280347694633
pdftranslator,RF,UNDER,0.879912084278156
pdftranslator,RF,SMOTE,0.889832331821617
pdftranslator,RF,ROSE,0.826962320483749
poi-1.5,RF,ORIGINAL,0.77666425999169
poi-1.5,RF,OVER,0.776486546292115
poi-1.5,RF,UNDER,0.773507628206238
poi-1.5,RF,SMOTE,0.761624815349345
poi-1.5,RF,ROSE,0.683216448431635
poi-2.0,RF,ORIGINAL,0.773422537479618
poi-2.0,RF,OVER,0.765441808656809
poi-2.0,RF,UNDER,0.738752599363627
poi-2.0,RF,SMOTE,0.755315526943575
poi-2.0,RF,ROSE,0.633511350188785
poi-2.5,RF,ORIGINAL,0.891814517442779
poi-2.5,RF,OVER,0.891483753430382
poi-2.5,RF,UNDER,0.889010296422291
poi-2.5,RF,SMOTE,0.885253429552332
poi-2.5,RF,ROSE,0.811540389290196
poi-3.0,RF,ORIGINAL,0.86505718616218
poi-3.0,RF,OVER,0.86725910702737
poi-3.0,RF,UNDER,0.863447691825461
poi-3.0,RF,SMOTE,0.855163735610337
poi-3.0,RF,ROSE,0.787699376666755
prop-1,RF,ORIGINAL,0.709808442397276
prop-1,RF,OVER,0.773465929204411
prop-1,RF,UNDER,0.782204505055574
prop-1,RF,SMOTE,0.779609911858288
prop-1,RF,ROSE,0.708619251932284
prop-2,RF,ORIGINAL,0.77535371722954
prop-2,RF,OVER,0.813920539150502
prop-2,RF,UNDER,0.818289041012874
prop-2,RF,SMOTE,0.820998426714975
prop-2,RF,ROSE,0.66050170183668
prop-3,RF,ORIGINAL,0.665959525678426
prop-3,RF,OVER,0.710854409461296
prop-3,RF,UNDER,0.723238200142413
prop-3,RF,SMOTE,0.72088348424
prop-3,RF,ROSE,0.624927562932815
prop-4,RF,ORIGINAL,0.6834221043689
prop-4,RF,OVER,0.72492963517052
prop-4,RF,UNDER,0.751502646867807
prop-4,RF,SMOTE,0.748533952910484
prop-4,RF,ROSE,0.645501276388967
prop-5,RF,ORIGINAL,0.693394593482351
prop-5,RF,OVER,0.739625537820422
prop-5,RF,UNDER,0.742383568552174
prop-5,RF,SMOTE,0.743265839437168
prop-5,RF,ROSE,0.628452837828
prop-6,RF,ORIGINAL,0.697534965588713
prop-6,RF,OVER,0.680947313530918
prop-6,RF,UNDER,0.704733406738315
prop-6,RF,SMOTE,0.71769644510452
prop-6,RF,ROSE,0.648491253936538
redaktor,RF,ORIGINAL,0.764869296843554
redaktor,RF,OVER,0.761876983359784
redaktor,RF,UNDER,0.757019229476287
redaktor,RF,SMOTE,0.769871130560692
redaktor,RF,ROSE,0.760705887646064
synapse-1.0,RF,ORIGINAL,0.630172252250766
synapse-1.0,RF,OVER,0.598356067332847
synapse-1.0,RF,UNDER,0.624147821190162
synapse-1.0,RF,SMOTE,0.606827080595945
synapse-1.0,RF,ROSE,0.682782158629226
synapse-1.1,RF,ORIGINAL,0.772379855453167
synapse-1.1,RF,OVER,0.763050369218405
synapse-1.1,RF,UNDER,0.759061733773943
synapse-1.1,RF,SMOTE,0.768359628865422
synapse-1.1,RF,ROSE,0.679391569035397
synapse-1.2,RF,ORIGINAL,0.729252020366445
synapse-1.2,RF,OVER,0.719238514985173
synapse-1.2,RF,UNDER,0.720194937716957
synapse-1.2,RF,SMOTE,0.729032219020145
synapse-1.2,RF,ROSE,0.70349786389815
szybkafucha,RF,ORIGINAL,0.755413095238095
szybkafucha,RF,OVER,0.747720634920635
szybkafucha,RF,UNDER,0.734856746031746
szybkafucha,RF,SMOTE,0.739018650793651
szybkafucha,RF,ROSE,0.789511507936508
termoproject,RF,ORIGINAL,0.798964840714841
termoproject,RF,OVER,0.78317883042883
termoproject,RF,UNDER,0.779476665001665
termoproject,RF,SMOTE,0.784634287934288
termoproject,RF,ROSE,0.688421542346542
tomcat,RF,ORIGINAL,0.776642667763882
tomcat,RF,OVER,0.731187339574336
tomcat,RF,UNDER,0.768655959736791
tomcat,RF,SMOTE,0.785670867050337
tomcat,RF,ROSE,0.789143059580215
velocity-1.4,RF,ORIGINAL,0.850156243257637
velocity-1.4,RF,OVER,0.840556392347307
velocity-1.4,RF,UNDER,0.824787672186532
velocity-1.4,RF,SMOTE,0.83005295909324
velocity-1.4,RF,ROSE,0.757968882956408
velocity-1.5,RF,ORIGINAL,0.812803642349246
velocity-1.5,RF,OVER,0.81267161498862
velocity-1.5,RF,UNDER,0.797530925685829
velocity-1.5,RF,SMOTE,0.802271983919509
velocity-1.5,RF,ROSE,0.71403715225516
velocity-1.6,RF,ORIGINAL,0.774564427238772
velocity-1.6,RF,OVER,0.775007127953646
velocity-1.6,RF,UNDER,0.767596913105076
velocity-1.6,RF,SMOTE,0.776168573637464
velocity-1.6,RF,ROSE,0.691810864261815
workflow,RF,ORIGINAL,0.670024928708857
workflow,RF,OVER,0.670507883254312
workflow,RF,UNDER,0.669390020957878
workflow,RF,SMOTE,0.675410417955061
workflow,RF,ROSE,0.627247086511372
xalan-2.4,RF,ORIGINAL,0.780606689503339
xalan-2.4,RF,OVER,0.770616607895463
xalan-2.4,RF,UNDER,0.763713878539692
xalan-2.4,RF,SMOTE,0.774181660155381
xalan-2.4,RF,ROSE,0.711605213190668
xalan-2.5,RF,ORIGINAL,0.717297847961934
xalan-2.5,RF,OVER,0.716783832328106
xalan-2.5,RF,UNDER,0.717257591856015
xalan-2.5,RF,SMOTE,0.719288587950429
xalan-2.5,RF,ROSE,0.57609713265411
xalan-2.6,RF,ORIGINAL,0.832566736981346
xalan-2.6,RF,OVER,0.832071885014061
xalan-2.6,RF,UNDER,0.83190938843876
xalan-2.6,RF,SMOTE,0.83608560868155
xalan-2.6,RF,ROSE,0.765769428740408
xerces-1.2,RF,ORIGINAL,0.778708428330574
xerces-1.2,RF,OVER,0.797300626682655
xerces-1.2,RF,UNDER,0.786380690718349
xerces-1.2,RF,SMOTE,0.799350445873142
xerces-1.2,RF,ROSE,0.628043209577294
xerces-1.3,RF,ORIGINAL,0.84461296104204
xerces-1.3,RF,OVER,0.839898149481066
xerces-1.3,RF,UNDER,0.83765098454596
xerces-1.3,RF,SMOTE,0.839497102416237
xerces-1.3,RF,ROSE,0.819908629321672
xerces-1.4,RF,ORIGINAL,0.950499339579111
xerces-1.4,RF,OVER,0.951020338996502
xerces-1.4,RF,UNDER,0.952490509979429
xerces-1.4,RF,SMOTE,0.948308984076593
xerces-1.4,RF,ROSE,0.845937732237492
xerces-init,RF,ORIGINAL,0.810014191894703
xerces-init,RF,OVER,0.809585668330581
xerces-init,RF,UNDER,0.808579333183498
xerces-init,RF,SMOTE,0.798648110055388
xerces-init,RF,ROSE,0.708110906584698
zuzel,RF,ORIGINAL,0.821915476190476
zuzel,RF,OVER,0.809711904761905
zuzel,RF,UNDER,0.816220634920635
zuzel,RF,SMOTE,0.791259126984127
zuzel,RF,ROSE,0.820072222222222
eclipse-2.0,RF,ORIGINAL,0.819910995442563
eclipse-2.0,RF,OVER,0.814410109135563
eclipse-2.0,RF,UNDER,0.816644023922254
eclipse-2.0,RF,SMOTE,0.820403686769887
eclipse-2.0,RF,ROSE,0.745315900019908
eclipse-2.1,RF,ORIGINAL,0.76751576880571
eclipse-2.1,RF,OVER,0.767228989949258
eclipse-2.1,RF,UNDER,0.780498285955857
eclipse-2.1,RF,SMOTE,0.779303950096401
eclipse-2.1,RF,ROSE,0.722749992168123
eclipse-3.0,RF,ORIGINAL,0.797406874628846
eclipse-3.0,RF,OVER,0.794225905126478
eclipse-3.0,RF,UNDER,0.798757123243765
eclipse-3.0,RF,SMOTE,0.797274885918917
eclipse-3.0,RF,ROSE,0.733561971581716
Zxing,RF,ORIGINAL,0.672032685925288
Zxing,RF,OVER,0.67532930895452
Zxing,RF,UNDER,0.674459936292616
Zxing,RF,SMOTE,0.673802797091659
Zxing,RF,ROSE,0.572458212097793
eclipse34_debug,RF,ORIGINAL,0.765018678550767
eclipse34_debug,RF,OVER,0.756496347328141
eclipse34_debug,RF,UNDER,0.756400384582249
eclipse34_debug,RF,SMOTE,0.764882872438394
eclipse34_debug,RF,ROSE,0.704512273869103
eclipse34_swt,RF,ORIGINAL,0.962393501021108
eclipse34_swt,RF,OVER,0.962403356003815
eclipse34_swt,RF,UNDER,0.961694352809602
eclipse34_swt,RF,SMOTE,0.961561355121
eclipse34_swt,RF,ROSE,0.719070894668089
equinox,RF,ORIGINAL,0.801669789176529
equinox,RF,OVER,0.799607286099533
equinox,RF,UNDER,0.799383181004243
equinox,RF,SMOTE,0.805790452188986
equinox,RF,ROSE,0.774008378671497
jdt,RF,ORIGINAL,0.810326002419586
jdt,RF,OVER,0.808659922478523
jdt,RF,UNDER,0.806420333054447
jdt,RF,SMOTE,0.806920722568892
jdt,RF,ROSE,0.753866674724035
lucene,RF,ORIGINAL,0.788607316327145
lucene,RF,OVER,0.749898504216951
lucene,RF,UNDER,0.744039116601238
lucene,RF,SMOTE,0.766078642918575
lucene,RF,ROSE,0.764214739204838
mylyn,RF,ORIGINAL,0.741891990825468
mylyn,RF,OVER,0.754106290495342
mylyn,RF,UNDER,0.770787131778066
mylyn,RF,SMOTE,0.767530714186908
mylyn,RF,ROSE,0.699564798019261
pde,RF,ORIGINAL,0.69317560336495
pde,RF,OVER,0.667175553204169
pde,RF,UNDER,0.678373735976447
pde,RF,SMOTE,0.684656550885189
pde,RF,ROSE,0.681196919109347
JM1,GLM,ORIGINAL,0.67400412998547
JM1,GLM,OVER,0.675654734639874
JM1,GLM,UNDER,0.674657433871599
JM1,GLM,SMOTE,0.675131335176397
JM1,GLM,ROSE,0.671570881340652
KC3,GLM,ORIGINAL,0.652781908345014
KC3,GLM,OVER,0.651711641731407
KC3,GLM,UNDER,0.643779999939564
KC3,GLM,SMOTE,0.66453594487463
KC3,GLM,ROSE,0.65241222283393
MC1,GLM,ORIGINAL,0.752073400058825
MC1,GLM,OVER,0.759712474699651
MC1,GLM,UNDER,0.737579982193226
MC1,GLM,SMOTE,0.751864941601044
MC1,GLM,ROSE,0.786791488982255
MC2,GLM,ORIGINAL,0.656656521629875
MC2,GLM,OVER,0.643811333767014
MC2,GLM,UNDER,0.659659722510409
MC2,GLM,SMOTE,0.653915419714098
MC2,GLM,ROSE,0.652704361667208
MW1,GLM,ORIGINAL,0.712879033260515
MW1,GLM,OVER,0.693272491066297
MW1,GLM,UNDER,0.64507697016717
MW1,GLM,SMOTE,0.687540408462803
MW1,GLM,ROSE,0.716433791963425
PC1,GLM,ORIGINAL,0.796488748052474
PC1,GLM,OVER,0.7996409917633
PC1,GLM,UNDER,0.787920095815858
PC1,GLM,SMOTE,0.788669159305762
PC1,GLM,ROSE,0.804036689741872
PC2,GLM,ORIGINAL,0.619189977839143
PC2,GLM,OVER,0.6420655365671
PC2,GLM,UNDER,0.636128868406436
PC2,GLM,SMOTE,0.622869381683837
PC2,GLM,ROSE,0.673852593682644
PC3,GLM,ORIGINAL,0.785416413022885
PC3,GLM,OVER,0.808967790134551
PC3,GLM,UNDER,0.800687387822924
PC3,GLM,SMOTE,0.797329814404729
PC3,GLM,ROSE,0.805497471211841
PC4,GLM,ORIGINAL,0.873909376442512
PC4,GLM,OVER,0.87330166028695
PC4,GLM,UNDER,0.870339927658533
PC4,GLM,SMOTE,0.870871759047314
PC4,GLM,ROSE,0.833319307477072
PC5,GLM,ORIGINAL,0.724754939624
PC5,GLM,OVER,0.728141013700835
PC5,GLM,UNDER,0.727008358445299
PC5,GLM,SMOTE,0.727456818356682
PC5,GLM,ROSE,0.712940301692991
ar4,GLM,ORIGINAL,0.763192031654331
ar4,GLM,OVER,0.763064811476196
ar4,GLM,UNDER,0.747940296903705
ar4,GLM,SMOTE,0.76219966880268
ar4,GLM,ROSE,0.770059008458974
ar6,GLM,ORIGINAL,0.71308337165919
ar6,GLM,OVER,0.719496766179742
ar6,GLM,UNDER,0.696417443545757
ar6,GLM,SMOTE,0.706992903281943
ar6,GLM,ROSE,0.670782700685686
cm1,GLM,ORIGINAL,0.726632308183692
cm1,GLM,OVER,0.731558073269102
cm1,GLM,UNDER,0.724525630452225
cm1,GLM,SMOTE,0.7228097973172
cm1,GLM,ROSE,0.708540709365618
kc2,GLM,ORIGINAL,0.841539973075044
kc2,GLM,OVER,0.84318226478802
kc2,GLM,UNDER,0.840520752410312
kc2,GLM,SMOTE,0.841862712650979
kc2,GLM,ROSE,0.837316151483394
ant-1.3,GLM,ORIGINAL,0.635255422770152
ant-1.3,GLM,OVER,0.662367527701004
ant-1.3,GLM,UNDER,0.652511611909198
ant-1.3,GLM,SMOTE,0.656281692239728
ant-1.3,GLM,ROSE,0.690493132156214
ant-1.4,GLM,ORIGINAL,0.613338397140815
ant-1.4,GLM,OVER,0.614747964230493
ant-1.4,GLM,UNDER,0.618933680568864
ant-1.4,GLM,SMOTE,0.606341631273488
ant-1.4,GLM,ROSE,0.593314195032804
ant-1.5,GLM,ORIGINAL,0.702927319053273
ant-1.5,GLM,OVER,0.709159721074895
ant-1.5,GLM,UNDER,0.692033527867993
ant-1.5,GLM,SMOTE,0.696398644631918
ant-1.5,GLM,ROSE,0.745354080890672
ant-1.6,GLM,ORIGINAL,0.761565961598827
ant-1.6,GLM,OVER,0.763497320125898
ant-1.6,GLM,UNDER,0.760915785240965
ant-1.6,GLM,SMOTE,0.758942197733948
ant-1.6,GLM,ROSE,0.760872161973808
ant-1.7,GLM,ORIGINAL,0.770472092724608
ant-1.7,GLM,OVER,0.771972968890634
ant-1.7,GLM,UNDER,0.767116415873909
ant-1.7,GLM,SMOTE,0.770073465996478
ant-1.7,GLM,ROSE,0.762825253553154
arc,GLM,ORIGINAL,0.763870927187276
arc,GLM,OVER,0.75893244974773
arc,GLM,UNDER,0.71893684999718
arc,GLM,SMOTE,0.746693662128719
arc,GLM,ROSE,0.721198395491245
berek,GLM,ORIGINAL,0.819324873539159
berek,GLM,OVER,0.82572056735152
berek,GLM,UNDER,0.795620207338957
berek,GLM,SMOTE,0.815193710775556
berek,GLM,ROSE,0.86306294587247
camel-1.0,GLM,ORIGINAL,0.663661700031328
camel-1.0,GLM,OVER,0.67985673802659
camel-1.0,GLM,UNDER,0.624973692133553
camel-1.0,GLM,SMOTE,0.662473387440416
camel-1.0,GLM,ROSE,0.691860280796188
camel-1.2,GLM,ORIGINAL,0.561204723398452
camel-1.2,GLM,OVER,0.554402018213022
camel-1.2,GLM,UNDER,0.557180733996247
camel-1.2,GLM,SMOTE,0.552873047782817
camel-1.2,GLM,ROSE,0.550087589686441
camel-1.4,GLM,ORIGINAL,0.67721265102141
camel-1.4,GLM,OVER,0.681737697537644
camel-1.4,GLM,UNDER,0.674111412174128
camel-1.4,GLM,SMOTE,0.677018694987861
camel-1.4,GLM,ROSE,0.672059832181241
camel-1.6,GLM,ORIGINAL,0.672718572604701
camel-1.6,GLM,OVER,0.672257176214757
camel-1.6,GLM,UNDER,0.670574014490014
camel-1.6,GLM,SMOTE,0.671440597266172
camel-1.6,GLM,ROSE,0.666121355959226
ivy-1.1,GLM,ORIGINAL,0.721447937174054
ivy-1.1,GLM,OVER,0.720922826688597
ivy-1.1,GLM,UNDER,0.713629172568018
ivy-1.1,GLM,SMOTE,0.728736401945426
ivy-1.1,GLM,ROSE,0.628278904758049
ivy-1.4,GLM,ORIGINAL,0.620045299219458
ivy-1.4,GLM,OVER,0.624054235351561
ivy-1.4,GLM,UNDER,0.61844683452998
ivy-1.4,GLM,SMOTE,0.616536366692755
ivy-1.4,GLM,ROSE,0.643375530684535
ivy-2.0,GLM,ORIGINAL,0.695002374995398
ivy-2.0,GLM,OVER,0.723029346613261
ivy-2.0,GLM,UNDER,0.705562174135671
ivy-2.0,GLM,SMOTE,0.697069557459806
ivy-2.0,GLM,ROSE,0.716961951116322
jedit-3.2,GLM,ORIGINAL,0.758353171675767
jedit-3.2,GLM,OVER,0.757615668737396
jedit-3.2,GLM,UNDER,0.75823248945143
jedit-3.2,GLM,SMOTE,0.756960942458369
jedit-3.2,GLM,ROSE,0.749762406160647
jedit-4.0,GLM,ORIGINAL,0.739403049325122
jedit-4.0,GLM,OVER,0.73897052893999
jedit-4.0,GLM,UNDER,0.731307226791053
jedit-4.0,GLM,SMOTE,0.735827483914249
jedit-4.0,GLM,ROSE,0.739550288728583
jedit-4.1,GLM,ORIGINAL,0.75663933745562
jedit-4.1,GLM,OVER,0.754111024889623
jedit-4.1,GLM,UNDER,0.756249424504434
jedit-4.1,GLM,SMOTE,0.756984072669398
jedit-4.1,GLM,ROSE,0.756086938156471
jedit-4.2,GLM,ORIGINAL,0.759220611596136
jedit-4.2,GLM,OVER,0.754220100849275
jedit-4.2,GLM,UNDER,0.756430622812723
jedit-4.2,GLM,SMOTE,0.756757499261842
jedit-4.2,GLM,ROSE,0.760723819671417
jedit-4.3,GLM,ORIGINAL,0.644676420254203
jedit-4.3,GLM,OVER,0.668506509925557
jedit-4.3,GLM,UNDER,0.680790886341971
jedit-4.3,GLM,SMOTE,0.666776445062816
jedit-4.3,GLM,ROSE,0.697920513258655
log4j-1.0,GLM,ORIGINAL,0.813009399833391
log4j-1.0,GLM,OVER,0.81271353725001
log4j-1.0,GLM,UNDER,0.795226215835061
log4j-1.0,GLM,SMOTE,0.808569553667104
log4j-1.0,GLM,ROSE,0.794586015498438
log4j-1.1,GLM,ORIGINAL,0.814604754973941
log4j-1.1,GLM,OVER,0.811779336547199
log4j-1.1,GLM,UNDER,0.809932018948124
log4j-1.1,GLM,SMOTE,0.804905160360256
log4j-1.1,GLM,ROSE,0.791226837778775
log4j-1.2,GLM,ORIGINAL,0.610932400721889
log4j-1.2,GLM,OVER,0.608791257246059
log4j-1.2,GLM,UNDER,0.567952140695562
log4j-1.2,GLM,SMOTE,0.61145868157847
log4j-1.2,GLM,ROSE,0.603784042606809
lucene-2.0,GLM,ORIGINAL,0.710521302200594
lucene-2.0,GLM,OVER,0.710417561593766
lucene-2.0,GLM,UNDER,0.707869489773938
lucene-2.0,GLM,SMOTE,0.707590366551766
lucene-2.0,GLM,ROSE,0.718702316179646
lucene-2.2,GLM,ORIGINAL,0.616997247872765
lucene-2.2,GLM,OVER,0.616305747254731
lucene-2.2,GLM,UNDER,0.606693366433835
lucene-2.2,GLM,SMOTE,0.62212626828325
lucene-2.2,GLM,ROSE,0.610937585639024
lucene-2.4,GLM,ORIGINAL,0.740248889825799
lucene-2.4,GLM,OVER,0.74216129051732
lucene-2.4,GLM,UNDER,0.737522199869996
lucene-2.4,GLM,SMOTE,0.739872607038665
lucene-2.4,GLM,ROSE,0.735505207223191
nieruchomosci,GLM,ORIGINAL,0.656590939153439
nieruchomosci,GLM,OVER,0.647589351851852
nieruchomosci,GLM,UNDER,0.640621097883598
nieruchomosci,GLM,SMOTE,0.679119113756614
nieruchomosci,GLM,ROSE,0.659441468253968
pdftranslator,GLM,ORIGINAL,0.750379109977324
pdftranslator,GLM,OVER,0.750136763038549
pdftranslator,GLM,UNDER,0.740205357142857
pdftranslator,GLM,SMOTE,0.740246882086168
pdftranslator,GLM,ROSE,0.744863907785336
poi-1.5,GLM,ORIGINAL,0.745424116553783
poi-1.5,GLM,OVER,0.741703149190531
