system,classifier,technique,AUC
JM1,RF,ORIGINAL,0.662778526608254
JM1,RF,OVER,0.651274302558997
JM1,RF,UNDER,0.663342241877696
JM1,RF,SMOTE,0.671699788818293
JM1,RF,ROSE,0.644370823716684
KC3,RF,ORIGINAL,0.707718189220914
KC3,RF,OVER,0.683097859092911
KC3,RF,UNDER,0.663837711910691
KC3,RF,SMOTE,0.694473852668111
KC3,RF,ROSE,0.670467759396683
MC1,RF,ORIGINAL,0.868934688542811
MC1,RF,OVER,0.879975644214928
MC1,RF,UNDER,0.856943943133257
MC1,RF,SMOTE,0.866491057872065
MC1,RF,ROSE,0.774240924294707
MC2,RF,ORIGINAL,0.719758439414877
MC2,RF,OVER,0.716577557883568
MC2,RF,UNDER,0.706468322095451
MC2,RF,SMOTE,0.740922015298976
MC2,RF,ROSE,0.661640258611538
MW1,RF,ORIGINAL,0.697923860150213
MW1,RF,OVER,0.686092055353257
MW1,RF,UNDER,0.691139062907581
MW1,RF,SMOTE,0.688379075414121
MW1,RF,ROSE,0.668382680641064
PC1,RF,ORIGINAL,0.841766567510243
PC1,RF,OVER,0.842258528891412
PC1,RF,UNDER,0.831815245986882
PC1,RF,SMOTE,0.844716663112659
PC1,RF,ROSE,0.744292344019374
PC2,RF,ORIGINAL,0.754117693329268
PC2,RF,OVER,0.730008467350091
PC2,RF,UNDER,0.78851036374343
PC2,RF,SMOTE,0.795110879349836
PC2,RF,ROSE,0.637324662133351
PC3,RF,ORIGINAL,0.82115162301527
PC3,RF,OVER,0.820040465520518
PC3,RF,UNDER,0.816823467014961
PC3,RF,SMOTE,0.819637457554655
PC3,RF,ROSE,0.800001938621403
PC4,RF,ORIGINAL,0.921762175460835
PC4,RF,OVER,0.922629610922085
PC4,RF,UNDER,0.917965531379214
PC4,RF,SMOTE,0.920828896131236
PC4,RF,ROSE,0.829663677581595
PC5,RF,ORIGINAL,0.790441313434002
PC5,RF,OVER,0.786433650785552
PC5,RF,UNDER,0.783434767747621
PC5,RF,SMOTE,0.790392298354192
PC5,RF,ROSE,0.682825275817814
ar4,RF,ORIGINAL,0.771891258458241
ar4,RF,OVER,0.762235266351212
ar4,RF,UNDER,0.77877890592796
ar4,RF,SMOTE,0.777350028096926
ar4,RF,ROSE,0.703190299098784
ar6,RF,ORIGINAL,0.70931676769733
ar6,RF,OVER,0.704119548579615
ar6,RF,UNDER,0.686665417120452
ar6,RF,SMOTE,0.717891454252289
ar6,RF,ROSE,0.691168028237255
cm1,RF,ORIGINAL,0.760815768382023
cm1,RF,OVER,0.761651604192297
cm1,RF,UNDER,0.742219080557811
cm1,RF,SMOTE,0.75866073672314
cm1,RF,ROSE,0.661403574466458
kc2,RF,ORIGINAL,0.825059688816829
kc2,RF,OVER,0.832958575614266
kc2,RF,UNDER,0.838096490093104
kc2,RF,SMOTE,0.834410431370892
kc2,RF,ROSE,0.805664329486665
ant-1.3,RF,ORIGINAL,0.705454515586902
ant-1.3,RF,OVER,0.688303441769921
ant-1.3,RF,UNDER,0.704990800738659
ant-1.3,RF,SMOTE,0.711666344749504
ant-1.3,RF,ROSE,0.683621776479703
ant-1.4,RF,ORIGINAL,0.667160324004729
ant-1.4,RF,OVER,0.663283590370267
ant-1.4,RF,UNDER,0.634236819029028
ant-1.4,RF,SMOTE,0.648402626440695
ant-1.4,RF,ROSE,0.597481087321157
ant-1.5,RF,ORIGINAL,0.741698969406327
ant-1.5,RF,OVER,0.735568292135541
ant-1.5,RF,UNDER,0.72808211367979
ant-1.5,RF,SMOTE,0.735457165872406
ant-1.5,RF,ROSE,0.763044238603017
ant-1.6,RF,ORIGINAL,0.774553772671146
ant-1.6,RF,OVER,0.767116567121018
ant-1.6,RF,UNDER,0.769748471734772
ant-1.6,RF,SMOTE,0.768419153206121
ant-1.6,RF,ROSE,0.744280813564155
ant-1.7,RF,ORIGINAL,0.782297139926617
ant-1.7,RF,OVER,0.775728174761421
ant-1.7,RF,UNDER,0.774507956817822
ant-1.7,RF,SMOTE,0.786000413880128
ant-1.7,RF,ROSE,0.745164450392758
arc,RF,ORIGINAL,0.704098494150224
arc,RF,OVER,0.722555693513896
arc,RF,UNDER,0.714946600018509
arc,RF,SMOTE,0.723883428371468
arc,RF,ROSE,0.680646781550275
berek,RF,ORIGINAL,0.940168025008501
berek,RF,OVER,0.938617719251648
